episode,layer,grad_mean,grad_std
2,fc1.weight,3.8141809000080684e-07,7.647801976418123e-05
2,fc1.bias,7.034791451587807e-06,6.997364107519388e-05
2,fc2.weight,5.6484500419173855e-06,4.8486661398783326e-05
2,fc2.bias,1.8948381693917327e-05,9.919703734340146e-05
2,fc3.weight,9.232620868715458e-06,7.517875201301649e-05
2,fc3.bias,7.317861309275031e-05,0.00032954890048131347
2,fc4.weight,0.00019271277415100485,0.0004879548796452582
2,fc4.bias,0.002202610718086362,0.0030818702653050423
3,fc1.weight,1.2527413673524279e-05,0.00017442682292312384
3,fc1.bias,3.156280217808671e-05,0.0001239562116097659
3,fc2.weight,1.0303286217094865e-05,0.00010162805119762197
3,fc2.bias,2.9317527150851674e-05,0.00014882543473504484
3,fc3.weight,3.095048441537074e-06,0.00011689534585457295
3,fc3.bias,2.1437874238472432e-05,0.00035687361378222704
3,fc4.weight,-0.00010109456343343481,0.0006195324822328985
3,fc4.bias,-0.0015683562960475683,0.0037330095656216145
4,fc1.weight,-5.738810955335794e-07,0.00011573089432204142
4,fc1.bias,9.680660696176346e-06,0.00011910644388990477
4,fc2.weight,-4.028882813145174e-06,7.48563907109201e-05
4,fc2.bias,7.842420927772764e-06,0.00013852983829565346
4,fc3.weight,-6.456259598053293e-06,9.214178135152906e-05
4,fc3.bias,-1.5279094441211782e-05,0.00034072218113578856
4,fc4.weight,5.484270877786912e-05,0.0005704006180167198
4,fc4.bias,0.0005377518245950341,0.004201918374747038
5,fc1.weight,7.991301572474185e-06,0.0005087180761620402
5,fc1.bias,-3.5327811929164454e-05,0.0002897586382459849
5,fc2.weight,1.2768289707310032e-05,0.0002816269116010517
5,fc2.bias,6.0049191233702004e-05,0.0003857553529087454
5,fc3.weight,8.123672159854323e-06,0.0002549686760175973
5,fc3.bias,0.00010931314318440855,0.0008888938464224339
5,fc4.weight,0.00046592814032919705,0.0013347218045964837
5,fc4.bias,0.007166444323956966,0.0075729950331151485
6,fc1.weight,1.3683607903658412e-05,0.00017094794020522386
6,fc1.bias,3.6210520192980766e-05,0.00015704189718235284
6,fc2.weight,1.557124596729409e-05,0.00010131284943781793
6,fc2.bias,6.444990867748857e-05,0.00025380775332450867
6,fc3.weight,9.304561899625696e-06,0.0001089762881747447
6,fc3.bias,9.172699355985969e-05,0.0007190360920503736
6,fc4.weight,0.00025173192261718214,0.0007079172064550221
6,fc4.bias,0.0031318769324570894,0.006522271316498518
7,fc1.weight,6.112078381192987e-07,9.471675002714619e-05
7,fc1.bias,1.037557922245469e-05,8.498829993186519e-05
7,fc2.weight,3.5179223232262302e-06,5.667157893185504e-05
7,fc2.bias,1.3373341062106192e-05,0.00011709228419931605
7,fc3.weight,1.3445728654915001e-06,4.967498534824699e-05
7,fc3.bias,2.127552215824835e-05,0.00022734781668987125
7,fc4.weight,4.136846837354824e-05,0.0002235143183497712
7,fc4.bias,0.0006781771080568433,0.0018326424760743976
8,fc1.weight,6.822026989539154e-06,0.0003371617931406945
8,fc1.bias,1.709958269202616e-05,0.0002988030610140413
8,fc2.weight,-8.592155609221663e-06,0.0001727539929561317
8,fc2.bias,-3.7844700273126364e-05,0.0004135850176680833
8,fc3.weight,-1.863011857494712e-05,0.00016421113105025142
8,fc3.bias,-0.00023170320491772145,0.0009686886915005744
8,fc4.weight,-0.00033497862750664353,0.0009851767681539059
8,fc4.bias,-0.006700486876070499,0.007819697260856628
9,fc1.weight,-5.095360847917618e-06,0.0001841875200625509
9,fc1.bias,-1.3221817425801419e-05,0.00022365871700458229
9,fc2.weight,-1.320044702879386e-05,0.00013263389701023698
9,fc2.bias,-5.700351175619289e-05,0.00041217036778107285
9,fc3.weight,-1.4898684639774729e-05,0.0001513585157226771
9,fc3.bias,-0.00014925599680282176,0.0010976145276799798
9,fc4.weight,-0.00045212561963126063,0.0009157934109680355
9,fc4.bias,-0.006927793845534325,0.007880930788815022
10,fc1.weight,-7.866328814998269e-05,0.0017955858493223786
10,fc1.bias,-0.00017092379857786,0.001245833351276815
10,fc2.weight,-8.408759458689019e-05,0.0007701637223362923
10,fc2.bias,-0.00021649969858117402,0.0011175810359418392
10,fc3.weight,-9.788014722289518e-05,0.0006156027084216475
10,fc3.bias,-0.00061163364443928,0.0025925254449248314
10,fc4.weight,-0.0013022036291658878,0.003771144198253751
10,fc4.bias,-0.00810382328927517,0.02838282659649849
11,fc1.weight,1.7271846445510164e-05,0.0008379859500564635
11,fc1.bias,3.819821358774789e-05,0.00048121027066372335
11,fc2.weight,1.798251469153911e-05,0.0004706663603428751
11,fc2.bias,5.46541741641704e-05,0.0007065412355586886
11,fc3.weight,6.023425157763995e-05,0.0004161789547652006
11,fc3.bias,0.0004880535416305065,0.0017861723899841309
11,fc4.weight,0.001085508381947875,0.0023417118936777115
11,fc4.bias,0.013616747222840786,0.014371498487889767
12,fc1.weight,1.2940702617925126e-05,0.0002128760825144127
12,fc1.bias,1.6118819985422306e-05,0.0003436373081058264
12,fc2.weight,1.4494904462480918e-05,0.00013911945279687643
12,fc2.bias,5.8519199228612706e-05,0.0005319177871569991
12,fc3.weight,1.7716014554025605e-05,0.00016295761452056468
12,fc3.bias,0.00028655759524554014,0.0013804242480546236
12,fc4.weight,0.000420524476794526,0.0010876583401113749
12,fc4.bias,0.006976074539124966,0.011735768057405949
13,fc1.weight,7.425146122841397e-06,0.00041252985829487443
13,fc1.bias,5.479371247929521e-05,0.00035793526330962777
13,fc2.weight,5.135683295520721e-06,0.0002457118534948677
13,fc2.bias,3.0846382287563756e-05,0.0005652254330925643
13,fc3.weight,1.3535004654841032e-05,0.00026753213023766875
13,fc3.bias,0.00019643512496259063,0.0016587611753493547
13,fc4.weight,8.843259274726734e-05,0.0016223256243392825
13,fc4.bias,0.0025601882953196764,0.017971282824873924
14,fc1.weight,-3.384870069567114e-06,0.0002133640373358503
14,fc1.bias,-1.0539689355937298e-05,0.00024098082212731242
14,fc2.weight,-1.0193952221015934e-05,0.0001531511516077444
14,fc2.bias,-3.923484473489225e-05,0.00042974480311386287
14,fc3.weight,-5.068925929663237e-06,0.00016070941637735814
14,fc3.bias,-4.779743176186457e-05,0.0011645432095974684
14,fc4.weight,-0.0003705191775225103,0.0009331164183095098
14,fc4.bias,-0.005835719406604767,0.00904905516654253
15,fc1.weight,6.946988833078649e-06,0.00013017217861488461
15,fc1.bias,1.975846680579707e-05,0.00011911783076357096
15,fc2.weight,9.104633136303164e-06,5.8361663832329214e-05
15,fc2.bias,4.0685219573788345e-05,0.00012775998038705438
15,fc3.weight,8.117129254969768e-06,4.931162402499467e-05
15,fc3.bias,7.74286309024319e-05,0.00022900314070284367
15,fc4.weight,0.00010697830293793231,0.000263241701759398
15,fc4.bias,0.0012614424340426922,0.0009930741507560015
16,fc1.weight,-1.5200124835246243e-05,0.000826769566629082
16,fc1.bias,-5.453075937111862e-05,0.0007232896168716252
16,fc2.weight,-3.60805211130355e-06,0.0003445116162765771
16,fc2.bias,-6.917620339663699e-06,0.0007385610952042043
16,fc3.weight,1.2277289897610899e-05,0.0003227728884667158
16,fc3.bias,0.00012007654731860384,0.0015955980634316802
16,fc4.weight,-0.00035026270779781044,0.002563146874308586
16,fc4.bias,-0.002497417153790593,0.016197877004742622
17,fc1.weight,5.092238097859081e-06,0.0008333689766004682
17,fc1.bias,-5.377667548600584e-05,0.0005021694232709706
17,fc2.weight,4.167082352068974e-06,0.0004602200642693788
17,fc2.bias,2.7306201445753686e-05,0.0007261174032464623
17,fc3.weight,-3.792385905398987e-05,0.000346586195519194
17,fc3.bias,-0.00031207373831421137,0.0015109004452824593
17,fc4.weight,-0.00044630575575865805,0.0016385369235649705
17,fc4.bias,-0.00564618781208992,0.013276816345751286
18,fc1.weight,5.516742930922192e-06,0.00035220099380239844
18,fc1.bias,5.4027492296881974e-05,0.00040008369251154363
18,fc2.weight,1.3490739547705743e-05,0.00021340714010875672
18,fc2.bias,6.302534893620759e-05,0.0005975633976049721
18,fc3.weight,3.062245741602965e-05,0.00023602349392604083
18,fc3.bias,0.00033491000067442656,0.0016754682874307036
18,fc4.weight,0.0004483958182390779,0.0016245523001998663
18,fc4.bias,0.006661102641373873,0.015832066535949707
19,fc1.weight,-3.0714086278749164e-06,0.00015316564531531185
19,fc1.bias,-5.361077910492895e-06,0.00012599286856129766
19,fc2.weight,-5.32522244611755e-06,8.102512219920754e-05
19,fc2.bias,-1.617276757315267e-05,0.00020060103270225227
19,fc3.weight,-3.6501353406492854e-06,7.521718362113461e-05
19,fc3.bias,-2.5614554033381864e-05,0.0004894271842204034
19,fc4.weight,-0.00015255025937221944,0.0004743451427202672
19,fc4.bias,-0.0021965792402625084,0.004152773413807154
20,fc1.weight,-5.445881924970308e-06,0.0001863858924480155
20,fc1.bias,-2.3113670977181755e-05,0.00019913171126972884
20,fc2.weight,-1.368502762488788e-05,0.0001242053840542212
20,fc2.bias,-6.512025720439851e-05,0.00033399343374185264
20,fc3.weight,-1.5575444194837473e-05,0.00011676841677399352
20,fc3.bias,-0.00018221038044430315,0.0007919793715700507
20,fc4.weight,-0.00042844805284403265,0.0006159251788631082
20,fc4.bias,-0.006779033690690994,0.002723740879446268
21,fc1.weight,-3.1702368232799927e-06,0.00012902331945952028
21,fc1.bias,-9.317173862655181e-06,0.0001310687803197652
21,fc2.weight,-8.408144822169561e-06,0.00010981940431520343
21,fc2.bias,-4.236746462993324e-05,0.00033968972275033593
21,fc3.weight,-3.274342134318431e-06,0.00012928068463224918
21,fc3.bias,-4.9024962208932266e-05,0.0009364005527459085
21,fc4.weight,-0.00030242701177485287,0.000790427322499454
21,fc4.bias,-0.005037976428866386,0.006941594649106264
22,fc1.weight,-2.8990361897740513e-06,0.00011866480053868145
22,fc1.bias,-1.3005206710658967e-05,0.00015346574946306646
22,fc2.weight,4.142637408222072e-06,4.69828701170627e-05
22,fc2.bias,1.66719746630406e-05,0.00013534107711166143
22,fc3.weight,1.0283383744535968e-06,4.369772068457678e-05
22,fc3.bias,-1.5016148608992808e-06,0.0003311951004434377
22,fc4.weight,4.323951998230768e-06,0.00027790185413323343
22,fc4.bias,-2.1368410671129823e-05,0.0030171957332640886
