episode,layer,weight_mean,weight_std
2,fc1.weight,0.0015650924760848284,0.09589378535747528
2,fc1.bias,-0.011575503274798393,0.09735120087862015
2,fc2.weight,-0.00040730685577727854,0.07215118408203125
2,fc2.bias,0.0038547764997929335,0.07161839306354523
2,fc3.weight,0.0009544697823002934,0.051370710134506226
2,fc3.bias,-0.0021642541978508234,0.05559259280562401
2,fc4.weight,0.009482519701123238,0.07223513722419739
2,fc4.bias,-0.021743452176451683,0.04728886857628822
3,fc1.weight,0.0017468632431700826,0.09669938683509827
3,fc1.bias,-0.00956422183662653,0.09668669104576111
3,fc2.weight,-0.0002367040578974411,0.07264810055494308
3,fc2.bias,0.005925371311604977,0.07257834076881409
3,fc3.weight,0.0006272672908380628,0.05196942016482353
3,fc3.bias,-0.002094805706292391,0.0566135011613369
3,fc4.weight,0.009650442749261856,0.07221762090921402
3,fc4.bias,-0.020888688042759895,0.04670608043670654
4,fc1.weight,0.0017793521983548999,0.09817319363355637
4,fc1.bias,-0.008638865314424038,0.09670423716306686
4,fc2.weight,-0.0003517279401421547,0.07337135076522827
4,fc2.bias,0.007166693452745676,0.07331881672143936
4,fc3.weight,0.0006117113516665995,0.05271908640861511
4,fc3.bias,-0.0017443201504647732,0.056949395686388016
4,fc4.weight,0.009609218686819077,0.07274132966995239
4,fc4.bias,-0.02029133029282093,0.046327102929353714
5,fc1.weight,0.0021480191498994827,0.09986625611782074
5,fc1.bias,-0.007086819503456354,0.0955081433057785
5,fc2.weight,-0.00048463160055689514,0.07434196025133133
5,fc2.bias,0.007978394627571106,0.07399938255548477
5,fc3.weight,0.0005103584262542427,0.05368863046169281
5,fc3.bias,-0.0014108631294220686,0.057157356292009354
5,fc4.weight,0.00936350878328085,0.07359573245048523
5,fc4.bias,-0.02128596231341362,0.045835789293050766
6,fc1.weight,0.0011019010562449694,0.10167674720287323
6,fc1.bias,-0.00778134074062109,0.09577770531177521
6,fc2.weight,-0.001023154123686254,0.07520011812448502
6,fc2.bias,0.007621401455253363,0.07406452298164368
6,fc3.weight,0.0005092094070278108,0.05435573682188988
6,fc3.bias,-0.0013172347098588943,0.05730429291725159
6,fc4.weight,0.009100097231566906,0.07484936714172363
6,fc4.bias,-0.022329386323690414,0.04521976783871651
